               ;  ;            mm;  mm;  mm;      mm;  mm;  mm;    Nm;    kN; kN;     ;  mm;  mm; Nm;  kgm2•10-3; kg
name;            kind;          d;   D;  D1;      D2;   L;  L1;     T;    FA; FR;  Thread; R;  N; Tt;     J; m
ETP-TECHNO 60;  ETP-TECHNO;    60;  75; 125; 154;  70;  95;  4400; 119; 12; M20; 46,3; 10; 40; 5; 2,51
ETP-TECHNO 70;  ETP-TECHNO;    70;  90; 140; 156;  85; 110;  7000; 158; 13; M20; 53; 10; 40; 8,9; 3,65
ETP-TECHNO 75;  ETP-TECHNO;    75;  95; 148; 164;  90; 115;  8600; 183; 14; M20; 55,3; 10; 40; 12; 4,20
ETP-TECHNO 80;  ETP-TECHNO;    80; 100; 156; 173;  95; 123; 10900; 218; 15; M22; 58,7; 10; 60; 15; 4,85
ETP-TECHNO 90;  ETP-TECHNO;    90; 112; 166; 180; 105; 133; 15500; 277; 17; M22; 63,3; 10; 60; 22; 5,44
ETP-TECHNO 100; ETP-TECHNO;   100; 125; 177; 192; 115; 143; 21000; 335; 19; M22; 69,6; 10; 60; 33; 6,18
ETP-TECHNO 110; ETP-TECHNO;   110; 138; 187; 202; 125; 153; 28000; 410; 21; M22; 75,1; 10; 60; 43; 7,08
ETP-TECHNO 120; ETP-TECHNO;   120; 150; 198; 217; 135; 163; 29000; 393; 23; M22; 80,9; 10; 50; 54; 9,96
ETP-TECHNO 130; ETP-TECHNO;   130; 163; 208; 226; 135; 163; 32000; 393; 25; M22; 86,3; 10; 46; 75; 10,86


ETP-POWER 15; ETP-POWER; 15; 20; 51; 55; 21; 35;   60;  7;  2;   M10; 17.1; 5;  8; 0.06; 0.19
ETP-POWER 19; ETP-POWER; 19; 26; 54; 58; 27; 41;  100;  8;  4;   M10; 18.2; 5;  8; 0.08; 0.23
ETP-POWER 20; ETP-POWER; 20; 27; 55; 59; 28; 42;  130; 11;  4;   M10; 18.9; 5;  8; 0.09; 0.24
ETP-POWER 22; ETP-POWER; 22; 29; 58; 62; 29; 43;  210; 15;  4.8; M10; 20.5; 5;  8; 0.11; 0.27
ETP-POWER 24; ETP-POWER; 24; 32; 64; 70; 33; 47;  230; 15;  5.6; M10; 22.7; 5;  8; 0.17; 0.34
ETP-POWER 25; ETP-POWER; 25; 33; 67; 72; 34; 48;  300; 20;  6;   M10; 23.2; 5;  8; 0.21; 0.38
ETP-POWER 28; ETP-POWER; 28; 37; 70; 76; 35; 49;  325; 20;  7.2; M10; 24.9; 5;  8; 0.26; 0.43
ETP-POWER 30; ETP-POWER; 30; 39; 72; 80; 36; 50;  530; 26;  8;   M10; 26;   5;  8; 0.29; 0.45
ETP-POWER 32; ETP-POWER; 32; 43; 85; 92; 38; 58;  550; 26;  8.8; M16; 31;   8; 25; 0.73; 0.82
ETP-POWER 35; ETP-POWER; 35; 46; 88; 94; 40; 60;  900; 40; 10;   M16; 32.4; 8; 25; 0.85; 0.88
ETP-POWER 38; ETP-POWER; 38; 50; 90; 96; 44; 64; 1150; 47; 11.2; M16; 33.1; 8; 25; 0.94; 0.92
ETP-POWER 40; ETP-POWER; 40; 53; 91; 96; 47; 67; 1200; 47; 12;   M16; 34.2; 8; 25; 1.0;  1.0
